index,importance_type,value
0,mic,0.33489863704419887
0,r_reg,0.6606018974867751
1,mic,0.3116282430904893
1,r_reg,0.5719278630801092
2,mic,0.21005212701480303
2,r_reg,0.5333910161886062
3,mic,0.06123212442969761
3,r_reg,-0.13116372870785714
4,mic,0.12525268409234336
4,r_reg,0.4074349328018487
5,mic,0.01489384122609172
5,r_reg,0.13093458767404076
6,mic,0.06430163170515946
6,r_reg,0.03842934144991978
7,mic,0.05665014515309674
7,r_reg,-0.22025408618095507
8,mic,0.02051310593939948
8,r_reg,-0.06860810606712518
9,mic,0.02177178971317839
9,r_reg,0.14589978026091088
10,mic,0.39368089129624306
10,r_reg,0.8249705771429339
